id,timestamp,target,operation,delay_ms,status,error
106,2026-04-23T10:20:43.528Z,polygon,write,181,success,
107,2026-04-23T10:20:43.543Z,fabric,write,196,success,
108,2026-04-23T10:20:43.620Z,fabric,write,272,success,
109,2026-04-23T10:20:43.651Z,fabric,write,303,success,
110,2026-04-23T10:20:43.652Z,fabric,write,305,success,
111,2026-04-23T10:20:43.760Z,polygon,write,105,success,
112,2026-04-23T10:20:43.792Z,fabric,write,136,success,
113,2026-04-23T10:20:43.793Z,polygon,write,137,success,
114,2026-04-23T10:20:43.793Z,polygon,write,137,success,
115,2026-04-23T10:20:43.808Z,fabric,write,153,success,
116,2026-04-23T10:20:43.809Z,polygon,write,154,success,
117,2026-04-23T10:20:43.824Z,polygon,write,167,success,
118,2026-04-23T10:20:43.871Z,fabric,write,215,success,
119,2026-04-23T10:20:43.934Z,fabric,write,277,success,
120,2026-04-23T10:20:43.949Z,fabric,write,293,success,
121,2026-04-23T10:20:44.058Z,fabric,write,104,success,
122,2026-04-23T10:20:44.059Z,fabric,write,106,success,
123,2026-04-23T10:20:44.060Z,polygon,write,106,success,
124,2026-04-23T10:20:44.074Z,polygon,write,122,success,
125,2026-04-23T10:20:44.075Z,fabric,write,122,success,
126,2026-04-23T10:20:44.105Z,polygon,write,151,success,
127,2026-04-23T10:20:44.153Z,polygon,write,200,success,
128,2026-04-23T10:20:44.153Z,polygon,write,200,success,
129,2026-04-23T10:20:44.168Z,fabric,write,214,success,
130,2026-04-23T10:20:44.231Z,fabric,write,278,success,
131,2026-04-23T10:20:44.340Z,fabric,write,104,success,
132,2026-04-23T10:20:44.355Z,polygon,write,120,success,
133,2026-04-23T10:20:44.356Z,fabric,write,121,success,
134,2026-04-23T10:20:44.385Z,polygon,write,150,success,
135,2026-04-23T10:20:44.400Z,fabric,write,165,success,
136,2026-04-23T10:20:44.416Z,polygon,write,181,success,
137,2026-04-23T10:20:44.416Z,polygon,write,180,success,
138,2026-04-23T10:20:44.431Z,polygon,write,197,success,
139,2026-04-23T10:20:44.432Z,fabric,write,198,success,
140,2026-04-23T10:20:44.446Z,fabric,write,210,success,
141,2026-04-23T10:20:44.555Z,polygon,write,106,success,
142,2026-04-23T10:20:44.556Z,polygon,write,105,success,
143,2026-04-23T10:20:44.570Z,fabric,write,120,success,
144,2026-04-23T10:20:44.571Z,polygon,write,121,success,
145,2026-04-23T10:20:44.601Z,polygon,write,151,success,
146,2026-04-23T10:20:44.632Z,polygon,write,182,success,
147,2026-04-23T10:20:44.633Z,fabric,write,183,success,
148,2026-04-23T10:20:44.663Z,fabric,write,213,success,
149,2026-04-23T10:20:44.740Z,fabric,write,289,success,
150,2026-04-23T10:20:44.756Z,fabric,write,305,success,
151,2026-04-23T10:20:44.881Z,polygon,write,120,success,
152,2026-04-23T10:20:44.881Z,polygon,write,121,success,
153,2026-04-23T10:20:44.897Z,fabric,write,137,success,
154,2026-04-23T10:20:44.897Z,polygon,write,136,success,
155,2026-04-23T10:20:44.959Z,polygon,write,198,success,
156,2026-04-23T10:20:44.960Z,fabric,write,199,success,
157,2026-04-23T10:20:44.974Z,polygon,write,214,success,
158,2026-04-23T10:20:44.975Z,fabric,write,214,success,
159,2026-04-23T10:20:45.021Z,fabric,write,261,success,
160,2026-04-23T10:20:45.068Z,fabric,write,307,success,
161,2026-04-23T10:20:45.162Z,fabric,write,89,success,
162,2026-04-23T10:20:45.177Z,fabric,write,103,success,
163,2026-04-23T10:20:45.177Z,polygon,write,104,success,
164,2026-04-23T10:20:45.209Z,polygon,write,138,success,
165,2026-04-23T10:20:45.224Z,fabric,write,153,success,
166,2026-04-23T10:20:45.239Z,polygon,write,166,success,
167,2026-04-23T10:20:45.271Z,polygon,write,199,success,
168,2026-04-23T10:20:45.271Z,polygon,write,198,success,
